grouped_city,order_count
americana,224
anapolis,113
aparecida de goiania,110
aracaju,225
aracatuba,141
araraquara,155
atibaia,159
balneario camboriu,100
barra mansa,123
barueri,433
bauru,273
belem,447
belford roxo,111
belo horizonte,2773
betim,203
blumenau,188
botucatu,101
braganca paulista,146
brasilia,2131
cabo frio,117
cachoeiro de itapemirim,122
caieiras,102
cajamar,101
campinas,1444
campo grande,320
campos dos goytacazes,238
canoas,210
carapicuiba,328
cariacica,139
cascavel,153
caxias do sul,224
chapeco,103
contagem,426
cotia,250
cuiaba,248
curitiba,1521
diadema,286
divinopolis,137
duque de caxias,266
embu das artes,165
feira de santana,185
ferraz de vasconcelos,111
florianopolis,570
fortaleza,654
franca,161
francisco morato,100
franco da rocha,109
goiania,692
governador valadares,141
gravatai,112
guaruja,226
guarulhos,1189
hortolandia,145
indaiatuba,280
ipatinga,171
itajai,120
itapevi,170
itaquaquecetuba,172
itu,136
jaboatao dos guararapes,135
jacarei,194
joao pessoa,256
joinville,264
juiz de fora,427
jundiai,565
limeira,190
londrina,306
macae,239
maceio,247
mage,111
manaus,140
marica,139
marilia,196
maringa,271
maua,323
mogi das cruzes,383
montes claros,211
natal,207
nilopolis,107
niteroi,849
nova friburgo,152
nova iguacu,442
novo hamburgo,123
osasco,746
others,32283
palmas,110
passo fundo,113
patos de minas,100
paulinia,130
pelotas,186
petropolis,240
pindamonhangaba,101
piracicaba,369
pocos de caldas,122
ponta grossa,143
porto alegre,1379
porto velho,113
pouso alegre,131
praia grande,316
presidente prudente,161
recife,613
resende,117
ribeirao das neves,101
ribeirao pires,109
ribeirao preto,510
rio claro,157
rio das ostras,137
rio de janeiro,6882
rio grande,125
salvador,1245
santa barbara d'oeste,119
santa luzia,100
santa maria,197
santana de parnaiba,185
santo andre,797
santos,713
sao bernardo do campo,938
sao caetano do sul,277
sao carlos,241
sao goncalo,409
sao joao de meriti,134
sao jose,169
sao jose do rio preto,335
sao jose dos campos,691
sao jose dos pinhais,133
sao leopoldo,105
sao luis,353
sao paulo,15540
sao vicente,165
serra,285
sete lagoas,128
sorocaba,633
sumare,183
suzano,234
taboao da serra,296
taubate,270
teresina,281
teresopolis,120
uberaba,191
uberlandia,374
valinhos,183
vila velha,334
vitoria,380
volta redonda,232
